ID;Nome do Estádio;Capacidade;ID do País;Estádio - País;Nome do País;EstadioPais
1843;MILLERNTOR-STADION                                          ;29546;154;154;St. Kitts & Nevis                                 ;
1906;NISSAN STADIUM                                              ;68742;154;154;St. Kitts & Nevis                                 ;
1913;ENEA POZNAN                                                 ;29122;154;154;St. Kitts & Nevis                                 ;
2003;STADE DE FRANCE                                             ;75000;154;154;St. Kitts & Nevis                                 ;
2017;CHERNOMORETS                                                ;27400;154;154;St. Kitts & Nevis                                 ;
2032;KING ABDULLAH SPORTS CITY                                   ;61235;154;154;St. Kitts & Nevis                                 ;
2049;RAJKO MITIC                                                 ;47201;154;154;St. Kitts & Nevis                                 ;
2054;NATIONAL ARENA                                              ;26783;154;154;St. Kitts & Nevis                                 ;
2098;BOLEYN GROUND                                               ;35153;154;154;St. Kitts & Nevis                                 ;
2121;AUESTADION                                                  ;18482;154;154;St. Kitts & Nevis                                 ;
2126;YANMAR STADIUM NAGAI                                        ;23609;154;154;St. Kitts & Nevis                                 ;
2187;STADE DE MARRAKECH                                          ;38345;154;154;St. Kitts & Nevis                                 ;
2210;STADION GOSIR                                               ;14037;154;154;St. Kitts & Nevis                                 ;
2219;STADE DE GERLAND                                            ;41044;154;154;St. Kitts & Nevis                                 ;
2259;MILLENNIUM STADIUM                                          ;65842;154;154;St. Kitts & Nevis                                 ;
2334;ESTADIO DE LA CARTUJA                                       ;55579;154;154;St. Kitts & Nevis                                 ;
2345;GERHARD HANAPPI STADION                                     ;16000;154;154;St. Kitts & Nevis                                 ;
2353;ILIE OANA ()                                                ;15000;154;154;St. Kitts & Nevis                                 ;
2360;ZENTRALSTADION VOLGOGRAD (-)                                ;13500;154;154;St. Kitts & Nevis                                 ;
2371;RAJKO MITIC STADIUM                                         ;51364;154;154;St. Kitts & Nevis                                 ;
2418;PGE NARODOWY                                                ;45000;154;154;St. Kitts & Nevis                                 ;
466;Cepheus Park Randers                                        ;10300;154;154;St. Kitts & Nevis                                 ;
2487;STEAUA                                                      ;27135;154;154;St. Kitts & Nevis                                 ;
2504;STADE ADRAR                                                 ;34875;154;154;St. Kitts & Nevis                                 ;
2505;WORKERS STADIUM                                             ;39752;154;154;St. Kitts & Nevis                                 ;
2531;TOYOTA STADIUM                                              ;31417;154;154;St. Kitts & Nevis                                 ;
518;Estádio Cidade de Coimbra                                   ;29744;154;154;St. Kitts & Nevis                                 ;
519;Estádio D. Afonso Henriques                                 ;30029;154;154;St. Kitts & Nevis                                 ;
2539;SHENZHEN UNIVERSIADE SPORTS CENTRE STADIUM                  ;22045;154;154;St. Kitts & Nevis                                 ;
415; Eylül Stadyum                                              ;11024;154;154;St. Kitts & Nevis                                 ;
416;Aalborg Portland Park                                       ;13800;154;154;St. Kitts & Nevis                                 ;
417;Abanca Balaídos                                             ;29000;154;154;St. Kitts & Nevis                                 ;
418;Abanca Riazor                                               ;32912;154;154;St. Kitts & Nevis                                 ;
419;Abe Lenstra Stadion                                         ;27224;154;154;St. Kitts & Nevis                                 ;
420;Adriatico                                                   ;20476;154;154;St. Kitts & Nevis                                 ;
439;Atatürk Olimpiyat                                           ;74753;154;154;St. Kitts & Nevis                                 ;
440;Audi Sportpark                                              ;15800;154;154;St. Kitts & Nevis                                 ;
441;Avangard                                                    ;10640;154;154;St. Kitts & Nevis                                 ;
442;Balikesir Atatürk                                           ;15800;154;154;St. Kitts & Nevis                                 ;
443;Basaksehir Fatih Terim                                      ;17156;154;154;St. Kitts & Nevis                                 ;
444;BayArena                                                    ;30210;154;154;St. Kitts & Nevis                                 ;
445;BBSP Stadium, Rugby Park                                    ;18128;154;154;St. Kitts & Nevis                                 ;
446;Benito Stirpe                                               ;16227;154;154;St. Kitts & Nevis                                 ;
447;Benito Villamarín                                           ;60721;154;154;St. Kitts & Nevis                                 ;
448;bet Stadium                                                 ;30089;154;154;St. Kitts & Nevis                                 ;
449;Bingoal Stadion                                             ;15000;154;154;St. Kitts & Nevis                                 ;
450;Blue Water Arena                                            ;16942;154;154;St. Kitts & Nevis                                 ;
451;Bluenergy Stadium                                           ;25144;154;154;St. Kitts & Nevis                                 ;
452;Bramall Lane                                                ;32702;154;154;St. Kitts & Nevis                                 ;
453;Brøndby Stadion                                             ;28000;154;154;St. Kitts & Nevis                                 ;
454;Bursa Büyüksehir Belediye Stadyumu                          ;43361;154;154;St. Kitts & Nevis                                 ;
455;Butarque                                                    ;12454;154;154;St. Kitts & Nevis                                 ;
456;Cambuurstadion                                              ;10250;154;154;St. Kitts & Nevis                                 ;
457;Campo de Fútbol de Vallecas                                 ;15105;154;154;St. Kitts & Nevis                                 ;
